country,country_code,exports_2023_bn_eur,imports_2023_bn_eur,balance_2023_bn_eur,exports_yoy_change,imports_yoy_change,top_export_partner,top_import_partner
Germany,DE,1562.4,1348.2,214.2,-1.8,-8.5,United States,China
France,FR,594.2,712.8,-118.6,1.2,-5.2,Germany,Germany
Italy,IT,626.2,585.4,40.8,0.5,-12.3,Germany,Germany
Spain,ES,399.8,428.5,-28.7,3.4,-6.1,France,China
Netherlands,NL,862.5,781.2,81.3,-5.2,-12.8,Germany,China
Belgium,BE,478.5,461.2,17.3,-4.1,-11.2,Germany,Netherlands
Austria,AT,194.8,213.5,-18.7,-2.1,-5.8,Germany,Germany
Poland,PL,338.6,316.2,22.4,2.8,-6.4,Germany,Germany
Sweden,SE,178.5,174.2,4.3,-3.5,-10.2,Norway,Germany
Denmark,DK,138.4,121.6,16.8,5.2,-3.4,Germany,Germany
Finland,FI,86.2,88.5,-2.3,-8.5,-14.2,Sweden,Germany
Ireland,IE,216.8,112.4,104.4,8.2,2.1,United States,United Kingdom
Portugal,PT,78.6,98.4,-19.8,4.1,-2.8,Spain,Spain
Greece,GR,52.8,78.2,-25.4,6.2,-5.1,Italy,Germany
Czech Republic,CZ,224.5,210.8,13.7,1.2,-4.5,Germany,Germany
Romania,RO,94.2,118.6,-24.4,4.8,-2.1,Germany,Germany
Hungary,HU,148.2,142.8,5.4,2.5,-5.8,Germany,Germany
Slovakia,SK,102.4,98.2,4.2,0.8,-6.2,Germany,Germany
Bulgaria,BG,48.5,52.8,-4.3,5.1,-1.2,Germany,Germany
Croatia,HR,24.8,38.5,-13.7,3.5,-2.4,Italy,Germany
Slovenia,SI,52.4,48.6,3.8,1.2,-4.8,Germany,Germany
Luxembourg,LU,16.2,28.4,-12.2,-2.5,1.8,Germany,Belgium
Estonia,EE,20.4,22.8,-2.4,-8.2,-12.5,Finland,Germany
Latvia,LV,18.6,21.4,-2.8,-2.1,-8.4,Lithuania,Germany
Lithuania,LT,42.8,44.2,-1.4,2.4,-6.8,Latvia,Germany
Cyprus,CY,4.2,11.8,-7.6,5.8,2.4,Greece,Greece
Malta,MT,4.1,8.6,-4.5,12.4,8.2,Germany,Italy
EU27_total,EU27,6284.5,6396.2,-111.7,-0.8,-7.2,United States,China
